1655+077	$	16:58:09.006	+07:41:27.47
1656+053	$	16:58:33.44721	+05:15:16.4491
1716+686	$	17:16:13.943	+68:36:38.70
1717-009	3C353	17:20:27.9597	-00:58:47.6397
1717-358	NGC6334B	17:20:21.7830	-35:52:49.2101
1727+502	$	17:28:18.60082	+50:13:10.3653
1730-130	NRAO530	17:33:02.70566	-13:04:49.5442
1739+522	$	17:40:36.97759	+52:11:43.4100
1741-038	$	17:43:58.85585	-03:50:04.6100
1742-289	SGR_A	17:45:40.045	-29:00:27.90
1745+094	1745+094	17:48:08.6726	+09:27:05.4418
1749+096	$	17:51:32.81846	+09:39:00.7315
1749+701	$	17:48:32.84008	+70:05:50.7705
1749-281	PSR1749	17:52:58.4388	-28:06:37.8027
1803+784	$	18:00:45.68364	+78:28:04.0206
1805-223	VX_SGR	18:08:04.0497	-22:13:28.0519
1807+698	3C371	18:06:50.68063	+69:49:28.1087
1821+107	$	18:24:02.8553	+10:44:23.771
1823+568	$	18:24:07.06809	+56:51:01.4939
1828+487	3C380	18:29:31.72483	+48:44:46.9515
1830+285	$	18:32:50.18563	+28:33:35.9553
1833+327	3C382	18:35:03.2308	+32:41:47.0735
1842+455	3C388	18:44:02.2671	+45:33:29.4040
1842+681	$	18:42:33.64129	+68:09:25.2314
1843-030	G2900.00	18:46:24.8684	-02:58:27.2057
1845+797	3C390.3	18:42:09.00942	+79:46:17.1291
1846-009	3C391	18:49:23.1658	-00:55:29.2805
1901+319	3C395	19:02:55.9379	+31:59:41.6680
1908-201	$	19:11:09.65289	-20:06:55.1091
1909+048	SS433	19:11:49.55474	+04:58:56.9486
1921-293	$	19:24:51.05589	-29:14:30.1122
1923+210	$	19:25:59.60502	+21:06:26.1728
1928+738	$	19:27:48.49468	+73:58:01.5723
1929+109	PSR1929	19:32:13.5682	+10:59:31.5602
1933+161	PSR1933	19:35:47.7585	+16:16:40.4454
1937+214	$	19:39:38.5249	+21:34:59.9493
1947+079	$	19:50:05.5360	+08:07:13.930
1951+327	CTB80.00	19:52:58.8439	+32:52:40.9357
1951+355	CYG_IV	19:53:30.948	+35:37:58.96
1954+513	$	19:55:42.7378	+51:31:48.546
